Key,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01
100101*PRODUITS FINIS*EBS CROSS-DIVISIONAL?*INTERCO,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043
100101*PRODUITS FINIS*FRS*FRS,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086
10011000*PRODUITS FINIS*EBS CROSS-DIVISIONAL?*INTERCO,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043
100110EK*PRODUITS FINIS*HEALTHCARE*HEALTHCARE EXPORT EUROPE,-0.782608695652174,-0.782608695652174,-0.782608695652174,-0.782608695652174,-0.782608695652174,-0.782608695652174,-0.782608695652174,-0.782608695652174,-0.782608695652174
100110FG*PRODUITS FINIS*HEALTHCARE*HEALTHCARE,4.260869565217392,4.260869565217392,4.260869565217392,4.260869565217392,4.260869565217392,4.260869565217392,4.260869565217392,4.260869565217392,4.260869565217392
100110FG*PRODUITS FINIS*HEALTHCARE*HEALTHCARE EXPORT EUROPE,10.173913043478262,10.173913043478262,10.173913043478262,10.173913043478262,10.173913043478262,10.173913043478262,10.173913043478262,10.173913043478262,10.173913043478262
100171*PRODUITS FINIS*HEALTHCARE*HEALTHCARE,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913
100174*PRODUITS FINIS*FRS*FRS,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131
100191FG*PRODUITS FINIS*F&B*F&B,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131
100191FG*PRODUITS FINIS*HEALTHCARE*HEALTHCARE EXPORT EUROPE,-0.43478260869565216,-0.43478260869565216,-0.43478260869565216,-0.43478260869565216,-0.43478260869565216,-0.43478260869565216,-0.43478260869565216,-0.43478260869565216,-0.43478260869565216
100191FG*PRODUITS FINIS*INSTITUTIONAL*INSTITUTIONAL,4.695652173913044,4.695652173913044,4.695652173913044,4.695652173913044,4.695652173913044,4.695652173913044,4.695652173913044,4.695652173913044,4.695652173913044
100194FG*PRODUITS FINIS*LIFE SCIENCES*LIFE SCIENCES,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174
100337*PRODUITS FINIS*EBS CROSS-DIVISIONAL?*INTERCO,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435
100337*PRODUITS FINIS*LIFE SCIENCES*LIFE SCIENCES,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043
100987*PRODUITS FINIS*LIFE SCIENCES*LIFE SCIENCES,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043
1009870*PRODUITS FINIS*HEALTHCARE*HEALTHCARE EXPORT,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086
100987PL*PRODUITS FINIS*EBS CROSS-DIVISIONAL?*INTERCO,142.6086956521739,142.6086956521739,142.6086956521739,142.6086956521739,142.6086956521739,142.6086956521739,142.6086956521739,142.6086956521739,142.6086956521739
1199043*PRODUITS FINIS*F&B*F&B,2.608695652173913,2.608695652173913,2.608695652173913,2.608695652173913,2.608695652173913,2.608695652173913,2.608695652173913,2.608695652173913,2.608695652173913
1199043*PRODUITS FINIS*FRS*FRS,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131
1199043*PRODUITS FINIS*HEALTHCARE*HEALTHCARE,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174
1199043*PRODUITS FINIS*HEALTHCARE*HEALTHCARE EXPORT,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216
1199043*PRODUITS FINIS*HEALTHCARE*HEALTHCARE EXPORT EUROPE,1.3043478260869565,1.3043478260869565,1.3043478260869565,1.3043478260869565,1.3043478260869565,1.3043478260869565,1.3043478260869565,1.3043478260869565,1.3043478260869565
1199043*PRODUITS FINIS*LIFE SCIENCES*LIFE SCIENCES,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043
1199342*PRODUITS FINIS*F&B*F&B,4.869565217391305,4.869565217391305,4.869565217391305,4.869565217391305,4.869565217391305,4.869565217391305,4.869565217391305,4.869565217391305,4.869565217391305
